total_loc,file_count,avg_complexity,duplication_percentage,team_size,actual_effort_hours,actual_time_days,actual_cost
122458,2446,21.008157407217734,29.120490311847895,17,52579,715,1847207
147367,1529,18.934248234716588,32.5259062067194,4,45338,1700,1136009
132432,907,25.11331969408243,10.299159045748993,13,43393,688,4955059
366338,1293,26.617073663604767,30.976779784252134,8,100399,2196,10428225
259678,3846,22.132141787391944,15.422142576052554,19,79019,1013,4480976
120379,2298,23.411166628195513,20.26743163416011,5,27847,870,1627041
110768,1753,7.3896754935946944,34.240042995726114,2,19553,1344,2793160
208392,2888,22.43327017649952,29.998147272096315,15,91783,1338,13620344
55386,932,7.098927481860553,32.20467405264711,2,5591,384,455926
137837,811,30.596884027704547,5.473806663454273,11,70934,1249,8818424
476102,2439,12.503729040522522,2.788777033349179,13,80491,1277,9318375
430910,3654,22.099067741033004,35.736189163519484,10,162197,3041,9513065
87998,588,22.9380868520079,15.513370782843774,3,26434,1266,729926
375371,5147,21.790064138379503,11.515187122787234,5,75693,2365,2916626
388968,2900,11.450122343754167,28.98785017047298,3,70536,3379,9097608
175703,972,20.562051467674515,33.45662386319427,6,86706,2348,9976201
191835,823,23.444025355993283,34.49958487593204,13,59509,944,6329587
278667,5481,26.98331701872472,12.639885645009095,10,73088,1370,2703112
41590,249,12.656334619420008,34.08849564806696,19,10178,130,1050277
329865,2654,23.943439159834103,1.6373577749738155,8,99404,2174,11966233
65320,248,15.376307773228481,1.986459658388755,18,12697,167,1674457
263413,1150,25.75788512381535,24.94076780696618,3,107277,5140,2330063
322379,1634,24.37073205241974,2.5242547646218494,17,114576,1558,12486694
194527,1630,20.137470367214913,12.984366740406461,8,49570,1084,1114467
327569,1180,14.78758663830921,26.91023944987696,10,85462,1602,9562639
253209,4132,6.122717014698784,13.490675842169054,2,43650,3000,4479833
199541,2579,10.039188584031448,7.183991257603837,12,26509,441,1041411
267955,1811,9.754015201300891,11.254024874153664,6,24337,659,2910603
103855,1280,16.100557605317455,18.303013290017272,2,29430,2023,850091
236296,817,23.481406372093495,19.015434214219297,3,124856,5982,15910629
214676,860,11.472985251859438,31.32000925388808,17,46979,639,2539252
185279,1614,31.938235783048427,30.0061291772605,7,102920,2481,11274962
347949,1764,8.152761747492747,18.272712182245407,5,54232,1694,7596797
422409,1429,31.844909439794943,33.82669396395086,1,304886,40016,19566825
465648,1717,28.443898316382825,4.5694855436558335,8,173105,3786,14779052
259295,1295,17.018989230382775,10.214134009156059,12,60760,1012,4873276
486732,1763,12.19881938795983,33.11905854009006,14,132772,2015,5375868
393252,1322,27.062150581744103,15.119761545046124,16,139966,1968,13540389
157230,666,15.327391873103794,39.24726235175369,10,33072,620,3855872
347122,5239,35.09418704298336,18.650131261113415,15,221851,3235,30880267
385181,2561,24.421332171803215,31.677424918550564,15,137617,2006,17973377
150003,578,31.24995382751174,16.092281655294876,10,56165,1053,4847181
131023,1217,10.014487110725819,16.998140762497215,7,33642,811,3817432
3247,12,22.110991400558994,15.31532589136734,3,1007,48,124970
124355,1552,21.387321604613042,28.76302482043247,2,47551,3269,4001584
452866,7335,31.500158665108042,21.90071536239978,6,224522,6080,7859523
66225,453,8.549868055203566,37.751124454734764,9,10735,216,825854
130481,2204,22.894460970895437,10.03561266136419,10,47143,883,6106062
85154,294,17.1462513986492,4.022509283337774,4,20921,784,2041123
429489,1674,31.131704272283173,15.73045940396861,3,172167,8249,19657957
381990,1526,18.124094680402717,24.66850830587104,9,120477,2426,5311209
67935,327,28.170353738492324,34.4319574766198,17,29279,398,4256109
319530,3070,9.83533812372916,13.847875467213107,14,43389,658,3147024
329447,1834,30.997430244944454,26.151470044978463,10,125229,2348,13145615
32051,160,26.619289148637634,14.007947240928761,13,12956,205,290906
