total_loc,file_count,avg_complexity,duplication_percentage,team_size,functional_points,actual_effort_hours,actual_time_days,actual_cost_inr
15895,141,1.8993742710625932,5.16753169697314,4,444,162,7,22464
960,13,9.20719173647802,0.23397887290294006,1,13,14,2,8254
76920,435,5.5494952912534865,3.3969240655794635,6,454,771,25,166014
54986,303,1.8790094258097136,0.9390678238925487,5,963,866,33,311412
6365,55,2.9497180191449752,2.853746320145951,2,150,105,9,17748
82486,1582,5.13436925920704,11.003874579080188,6,2000,1086,35,333858
37294,365,2.280612717357065,7.393670546642966,1,949,486,83,118000
87598,519,1.0398663384756666,1.814335024879045,3,2000,692,41,224085
44231,240,1.1703513921921456,1.2061867305661693,4,584,426,19,63684
60363,831,2.571133699010022,0.934860297059938,3,2000,1238,74,747093
16123,317,8.673694347964158,2.661357082037731,6,1461,856,28,147880
41190,228,3.599498687238267,0.42461576145430546,4,683,592,27,156607
67321,658,1.161823927101263,2.789142648556578,1,1834,824,141,153995
64920,512,1.4618510604698192,0.004670853527890451,5,2000,1011,38,401532
869,4,4.245979830996437,1.369689257825486,5,15,13,1,5000
59835,1181,5.051565527906705,0.8693200243227573,9,2000,858,20,255903
63055,438,3.115378049884423,12.418113868855103,8,617,635,16,244189
65025,1253,3.2748306545898225,4.547100234023477,8,2000,785,20,332252
68069,680,1.0632427531469448,1.5058742908935445,5,1036,580,22,100134
5411,32,4.879366631034708,0.34104716030120424,8,69,50,1,17456
83204,760,4.415429598654102,2.5456405208366877,7,1555,1141,32,118393
53807,269,1.6595645820511664,0.8403370223085773,1,955,746,128,323077
85405,659,3.7133077410579323,2.6907891534771045,7,2000,1106,31,239169
28793,315,1.5321499999302004,6.314029070815193,8,1179,572,14,199700
72032,957,1.0905651371581535,3.348004251770038,3,2000,1209,73,339977
93116,969,1.4940435272791182,3.5159040837718103,9,2000,614,14,164183
25758,258,1.4329165139420708,2.725698711199015,8,1009,245,6,54377
84578,1658,1.906640076972498,9.173294471432968,2,2000,923,81,365286
18531,186,2.192526415452333,9.403861198929258,6,427,306,10,70432
2847,24,2.5628194355402094,2.516230296106805,4,105,40,1,7494
59250,380,2.4249473134441155,1.2772788637053667,3,1756,939,56,656267
65825,453,1.6943976376929557,2.153975697336233,6,1271,676,22,138837
